term,p-value,q-value
LINC01107,0.046270860028907665,0.42470039383675967
LINC02043,0.046270860028907665,0.42470039383675967
LINC01763,0.046270860028907665,0.42470039383675967
LINC01706,0.046270860028907665,0.42470039383675967
LINC01248,0.046270860028907665,0.42470039383675967
LINC02449,0.046270860028907665,0.42470039383675967
LINC00887,0.046270860028907665,0.42470039383675967
LINC01521,0.046270860028907665,0.42470039383675967
LINC01310,0.046270860028907665,0.42470039383675967
LINC02783,0.046270860028907665,0.42470039383675967
LINC00632,0.046270860028907665,0.42470039383675967
LINC01164,0.046270860028907665,0.42470039383675967
LINC00994,0.046270860028907665,0.42470039383675967
LINC00207,0.046270860028907665,0.42470039383675967
LINC01751,0.046270860028907665,0.42470039383675967
LINC00863,0.046270860028907665,0.42470039383675967
LINC01007,0.046270860028907665,0.42470039383675967
LINC01671,0.046270860028907665,0.42470039383675967
LINC00383,0.046270860028907665,0.42470039383675967
LINC02367,0.046270860028907665,0.42470039383675967
LINC00412,0.046270860028907665,0.42470039383675967
LINC02691,0.046270860028907665,0.42470039383675967
LINC02303,0.046270860028907665,0.42470039383675967
LINC02274,0.046270860028907665,0.42470039383675967
LINC00641,0.046270860028907665,0.42470039383675967
LINC02412,0.046270860028907665,0.42470039383675967
LINC00508,0.046270860028907665,0.42470039383675967
LINC02387,0.046270860028907665,0.42470039383675967
LINC00507,0.046270860028907665,0.42470039383675967
LINC02389,0.046270860028907665,0.42470039383675967
LINC02685,0.046270860028907665,0.42470039383675967
LINC01299,0.046270860028907665,0.42470039383675967
LINC01486,0.046270860028907665,0.42470039383675967
LINC01170,0.046270860028907665,0.42470039383675967
LINC02646,0.046270860028907665,0.42470039383675967
LINC01923,0.046270860028907665,0.42470039383675967
LINC01378,0.046270860028907665,0.42470039383675967
LINC01324,0.046270860028907665,0.42470039383675967
LINC00461,0.046270860028907665,0.42470039383675967
LINC02283,0.046270860028907665,0.42470039383675967
LINC02044,0.046270860028907665,0.42470039383675967
LINC02260,0.046270860028907665,0.42470039383675967
LINC00589,0.046270860028907665,0.42470039383675967
LINC02236,0.046270860028907665,0.42470039383675967
LINC01385,0.046270860028907665,0.42470039383675967
LINC02217,0.046270860028907665,0.42470039383675967
